STATE,TRANSACTION_AMT
AA,4560
AE,29299
AK,452784
AL,742900
AP,7403
AR,449738
AS,232
AZ,2183442
CA,20370037
CO,2656463
CT,1448088
DC,1896857
DE,595462
FL,8515800
FM,63
GA,2727287
GU,63960
HI,428233
IA,499640
ID,410444
IL,3840461
IN,1014281
KS,564327
KY,598065
LA,762224
MA,5237392
MD,2947996
ME,446277
MI,2211411
MN,1809200
MO,1315389
MP,609
MS,392394
MT,336224
NC,2596796
ND,139452
NE,302647
NH,785873
NJ,2609770
NM,791514
NV,1274773
NY,11581993
OH,2240124
OK,998376
OR,2016286
PA,3594618
PR,24712
PW,449
RI,334678
SC,1107101
SD,190823
TN,1531354
TX,8370177
UT,574121
VA,3704947
VI,13295
VT,264841
WA,4526815
WI,1197482
WV,202525
WY,397851
ZZ,244728
